"","G2.P2.G2P4R6.brain","H2.P2.G1P3P5.brain","B3.P2.O2P4P5.brain","C3.P2.O1R4G5.brain","E3.P2.G2R4P6.brain","G3.P2.G2G4R5.brain","H3.P2.O3O4R6.brain","C4.P2.R1G2R5.brain","D4.P2.O1P2R4.brain","E4.P2.R2R5G6.brain","H4.P2.G2G3O4.brain","A5.P2.R3O5G6.brain","B5.P2.G2P3O6.brain","C5.P2.G3O4G6.brain","G5.P2.R1G3O5.brain","H5.P2.O1R2G6.brain","A6.P2.G1G2G6.brain","D6.P2.G3P4O5.brain","F6.P2.O2O3G6.brain","G6.P2.R1R4R6.brain","C7.P2.G2O3O4.brain","E7.P2.O1G2P3.brain","F7.P2.P3O5R6.brain","G7.P2.O1P5R6.brain","H7.P2.O2P3O6.brain","B8.P2.P3R4G6.brain","D8.P2.R3P5G6.brain","A9.P2.P1G4G5.brain","B9.P2.O2R5R6.brain","E9.P2.G4G5R6.brain","H9.P2.R1O2P4.brain","B10.P2.G1O5P6.brain","C10.P2.R2O3O5.brain","D10.P2.R3O5O6.brain","F10.P2.R2P5P6.brain","G10.P2.R1O2P6.brain","B11.P2.G1R2P5.brain","C11.P2.P2G3P6.brain","D11.P2.G1R4P6.brain","F11.P2.G1O3R6.brain","G11.P2.R1P2O5.brain","H11.P2.P3O5O6.brain","A12.P2.R3R5R6.brain","D12.P2.R3G5O6.brain","G12.P2.P3O4R6.brain"
"LOC105936910",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,145,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
"LOC105936911",173,0,0,0,0,92,0,15,0,0,0,1,0,0,20,1,0,0,0,8,69,0,1,2,0,43,0,0,0,0,0,20,0,0,0,17,0,0,45,0,0,0,0,0,0
"LOC105936913",87,0,0,0,0,0,0,0,0,237,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,34
"LOC105936915",0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105936917",3,0,0,0,0,36,0,0,0,0,0,175,42,0,0,0,0,0,1,0,0,0,0,0,0,82,0,19,0,1,0,0,0,0,0,20,84,0,0,0,23,0,27,0,7
"LOC105936920",21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100,0,0,0,0,261,0,0,0,0,0,1,0,15,0,0,1,0,0,0,0,0,1,14,0,50,0,0,0,0
"LOC105936925",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105936926",14,0,0,0,6,0,19,40,3,4,0,120,1,233,160,38,0,28,0,27,436,0,149,90,52,49,2,1,19,53,0,343,98,0,501,1,0,249,64,0,15,1,23,0,67
"LOC105936932",0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,4,0,0,0,0,0,35,0,0,0,0,0,0,1,0,1,0,5,2,0,0,0,0
"LOC105936935",252,2,147,47,18,156,194,1,30,149,84,11,6,1,72,60,32,128,6,0,0,1,66,94,24,45,0,0,171,3,183,57,61,10,357,183,0,279,147,301,123,0,8,299,117
"LOC105936938",1474,176,859,540,260,110,709,1068,368,909,115,244,946,832,136,691,615,188,428,449,752,506,267,377,281,140,237,295,938,657,402,1153,576,514,761,848,66,664,720,340,815,618,332,257,233
"LOC105936941",0,0,0,0,1,0,2,1,0,0,0,1,69,120,0,0,0,0,0,0,0,75,0,224,0,0,7,110,1,0,1,5,53,0,0,0,5,90,64,0,7,0,0,0,0
"LOC105936947",0,0,0,0,0,0,0,406,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,1,0,0,13
"LOC105936951",0,1,0,136,8,0,0,0,0,0,1,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,17,0,0,1,0
"LOC105936955",0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105936962",33,0,0,0,431,133,0,3,6,1,10,82,1,27,5,0,0,84,202,0,3,169,5,0,0,0,0,42,98,0,0,2,1,266,0,40,1,0,182,0,1,0,31,167,0
"LOC105936964",141,83,4,142,242,220,89,17,3,52,422,2,63,488,42,115,83,187,319,18,158,310,12,130,17,152,1,89,145,0,0,262,107,0,145,31,1,152,40,4,78,105,177,211,65
"LOC105936968",143,3,0,1,44,0,1,120,1,1,1,0,0,69,0,72,0,0,5,148,0,0,6,111,0,16,20,0,0,55,23,79,69,0,0,100,85,14,0,0,205,10,0,1,36
"LOC105936977",82,48,245,77,4,146,481,901,59,217,451,134,412,153,156,85,297,136,502,150,238,64,219,468,204,184,32,29,236,331,11,359,102,293,240,101,108,222,7,185,45,182,3,201,82
"LOC105936982",0,0,1,0,0,491,22,1,0,2,0,1,0,1,0,1,2,0,6,18,1,1,102,49,76,228,218,0,82,0,0,37,84,0,5,1,1,1,0,0,15,1,1,320,0
"LOC105936983",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105936988",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
"LOC105936989",8,105,0,0,0,0,9,45,0,2,1,0,0,0,0,46,0,0,0,0,0,304,0,0,0,33,0,0,2,0,88,0,0,17,105,36,0,0,0,1,1,13,17,11,3
"LOC105936995",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105936996",1,0,171,171,11,0,15,1,17,0,0,0,0,0,0,0,0,0,33,0,0,1,0,1,0,43,0,0,0,0,38,3,0,0,89,0,0,0,0,0,0,126,0,0,0
"LOC105936997",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105937012",0,85,1,0,0,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,369,58,0,0,0,0,0,0,0
"LOC105937013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105937014",105,0,99,0,1,19,0,148,1,0,0,0,0,0,0,0,0,7,4,0,0,1,0,0,24,1,29,40,0,0,0,10,49,0,2,4,0,0,0,0,65,35,1,0,0
"LOC105937015",650,95,22,218,14,2,44,59,153,257,61,76,186,629,381,5,33,46,337,196,22,95,172,11,301,26,34,11,280,347,13,605,179,72,369,220,4,5,73,507,13,78,105,77,331
"LOC105937016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105937021",61,0,36,1,0,95,5,1,57,9,0,252,1,183,80,1,0,1,41,0,2,9,1,0,0,57,35,14,38,54,159,76,1,77,0,30,0,1,2,220,2,2,39,0,75
"LOC105937023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105937028",1,2,14,427,1,1,50,1,191,3,211,37,0,94,124,0,21,1,0,0,1,106,3,214,1,4,1,0,326,0,1,39,0,1,3,138,54,7,71,602,223,1,0,239,400
"LOC105937029",10,46,83,200,0,0,328,61,16,2,133,6,841,2,90,2,1,1,50,105,190,628,115,121,0,2,18,58,3,209,1,5,3,2,35,499,66,11,4,0,129,78,0,112,64
"LOC105937030",0,5,71,0,1,0,0,0,0,0,1,106,1,1,1,1,114,0,0,27,0,163,0,135,0,37,0,65,0,1,7,0,0,196,0,1,1,1,0,0,28,0,84,52,0
"LOC105937031",1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105937033",238,35,0,15,3,0,287,5,21,163,123,0,283,28,55,162,235,28,503,166,1,698,139,275,12,4,0,304,222,39,26,518,147,90,316,526,355,78,58,176,14,92,79,55,95
"LOC105937041",511,112,502,6,195,2,108,216,115,4,403,168,141,300,156,251,321,29,299,103,444,396,181,430,11,2,328,414,6,532,118,157,204,3,320,42,4,3,152,375,166,362,120,99,1
"LOC105937044",0,0,0,0,0,0,0,5,0,0,0,0,0,130,0,0,0,0,0,1,1,0,2,0,0,1,0,0,67,185,0,1,0,0,102,3,1,0,116,0,61,0,1,2,0
"LOC105937046",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105937054",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105937057",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105937058",12,20,0,154,170,75,134,81,2,443,14,6,63,138,65,140,17,69,279,127,56,5,70,21,79,190,145,86,357,119,62,154,9,6,512,59,34,215,187,27,414,8,3,20,23
"LOC105937059",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105937061",123,2,1,384,55,137,70,0,96,358,64,8,5,1,286,2,1,0,0,170,266,106,2,1,0,185,2,0,89,72,0,2,236,1,4,5,0,1,41,0,180,106,0,0,253
"LOC105937062",234,0,65,0,0,40,139,181,2,0,0,50,3,0,0,2,0,0,0,69,153,46,49,1,6,0,184,0,0,2,1,98,1,63,138,0,22,0,82,180,0,73,86,0,0
"LOC105937065",1,0,0,0,0,11,0,0,0,1,0,1,0,21,0,1,0,2,1,17,99,1,12,1,1,0,0,0,0,0,0,0,1,0,0,23,0,3,0,1,0,93,10,1,2
"LOC105937067",0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0
"LOC105937068",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0
"LOC105937074",0,0,0,0,0,0,2,0,0,0,0,0,2,15,11,0,25,0,0,0,0,9,0,43,0,1,1,99,0,0,0,0,0,0,31,0,1,0,0,0,21,0,0,0,3
"LOC105937081",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105937086",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105937088",65,2,0,106,1,58,13,0,0,4,0,102,229,0,80,0,6,58,0,0,70,1,0,105,0,0,0,0,75,2,233,0,0,125,184,1,0,0,0,0,232,150,305,0,0
"LOC105937097",0,0,0,0,0,1,1,0,0,0,0,2,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,1,1,1,0,1,2,0,0,0,0,29,0
"LOC105937100",0,27,0,0,0,0,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105937113",0,0,1,1,0,0,64,1,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105937115",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,2,0,0,1,1,0,0,0,0,141,0,0,0,0
"LOC105937122",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105937123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105937125",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105937129",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"LOC105937130",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,67,0,1,0,0,0,0
"LOC105937131",312,39,34,2,0,0,12,139,260,1,1,2,0,3,59,1,33,0,2,1,27,3,11,288,1,146,68,0,1,0,1,2,0,0,0,275,0,0,0,7,2,38,0,0,23
"LOC105937141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105937142",0,2,0,0,0,0,1,2,0,2,124,0,0,0,0,0,0,0,0,0,0,0,20,59,0,0,2,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,3,13,0
"LOC105937144",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105937146",985,951,650,280,898,252,458,925,491,1116,131,724,1467,483,383,957,378,1752,491,503,1453,253,524,420,346,893,1594,345,323,585,1359,859,934,890,802,1056,381,995,485,911,1101,738,154,571,256
"LOC105937148",0,44,161,1,0,1,0,0,0,0,0,64,1,0,28,0,0,0,34,25,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,1,169,0,0,1
"LOC105937149",55,105,0,0,0,0,191,336,213,69,0,96,0,1,1,43,1,2,0,0,0,2,36,0,8,0,0,0,0,1,93,135,0,0,0,0,1,0,1,1,0,0,1,0,2
"LOC105937152",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105937153",0,0,0,0,85,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105937155",0,0,0,0,0,0,0,0,1,0,0,0,0,0,93,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,131,0,0,0,3,0,0,1,0,0,0,0,0,0
"LOC105937157",1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,7,1,0,0,0,0,0,0,0,0,0,0,0
"LOC105937174",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105937178",0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105937180",0,0,0,0,0,0,1,0,388,12,0,0,0,0,0,0,38,2,0,0,0,0,0,10,0,1,82,0,0,1,0,9,0,0,0,0,0,26,8,0,0,0,0,1,0
"LOC105937182",144,1,3,1,0,0,12,122,5,117,116,101,84,0,4,1,0,0,0,0,0,1,109,0,0,1,0,81,151,227,0,0,0,35,73,0,14,64,1,2,0,1,218,0,88
"LOC105937186",190,14,12,0,0,3,0,0,0,0,0,134,0,0,1,0,0,0,26,0,0,88,3,43,0,191,0,1,0,0,0,0,0,157,0,1,0,0,0,1,1,78,0,1,107
"LOC105937187",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105937188",0,0,9,3,0,0,213,3,23,0,146,0,63,13,0,0,81,1,0,70,53,2,17,50,1,2,0,26,201,2,1,161,215,114,1,580,0,156,53,33,92,44,0,218,27
"LOC105937192",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105937199",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105937200",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105937201",0,0,18,0,0,0,0,0,119,0,0,2,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,40,1,0,0,0,0,0,0,0,0
"LOC105937203",0,1,0,61,0,1,2,0,22,132,0,1,0,0,0,98,0,0,0,0,1,0,0,0,109,5,0,0,0,0,1,0,0,121,244,0,1,0,113,27,0,0,0,1,0
"LOC105937207",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105937211",0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,1,0,135,11,0,76,0,0,74,0,0,0,1,0,41,0,0,0,0,1,0,15,0,0,0,0,154,0
"LOC105937213",0,0,0,0,0,0,74,2,39,0,18,1,0,164,0,0,0,0,0,7,17,0,0,0,0,0,0,0,420,0,0,1,0,0,0,1,0,103,0,0,0,0,0,0,0
"LOC105937216",1,5,0,0,0,0,0,1,0,0,0,1,27,0,0,16,58,0,106,49,0,0,0,211,0,198,0,15,0,0,1,0,0,0,1,0,0,0,2,236,138,1,0,1,135
"LOC105937220",20,0,0,97,0,0,5,0,2,0,0,77,0,0,57,2,0,0,45,0,26,0,170,0,193,241,1,0,1,0,0,107,174,0,0,0,1,3,37,2,0,19,0,1,0
"LOC105937229",3,2,4,0,0,0,3,86,0,88,122,56,0,2,0,2,0,1,0,166,96,1,61,72,0,31,27,1,0,1,209,2,0,2,268,26,7,1,289,6,2,140,134,0,0
"LOC105937230",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0
"LOC105937232",49,0,0,0,0,0,187,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,19,0,3,7,0,0,1,3,0,0,0,1,53,0,0,1,14,0,1
"LOC105937237",0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,42,16,0,0,0,0,0,1,0,0,0,0,0,0,27,0,308,0,0,0,0,0,0,0,0,0,0,104,0,0
"LOC105937240",0,0,59,0,1,103,0,0,44,0,0,0,1,1,48,0,2,0,0,233,1,0,2,0,0,21,0,0,0,49,0,2,0,1,0,220,43,90,1,0,0,0,0,104,18
"LOC105937242",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,95,0,1,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0
"LOC105937244",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105937246",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105937247",0,0,2,0,8,0,45,0,0,0,0,0,59,1,0,1,144,0,1,0,0,2,0,56,1,0,1,1,31,64,3,2,0,0,0,0,0,0,1,0,22,0,8,0,0
"LOC105937248",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105937252",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105937254",0,0,0,1,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0
"LOC105937258",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,152,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0
"LOC105937261",0,1,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"LOC105937262",1,13,0,0,0,0,2,24,1,0,0,1,99,0,0,1,0,0,12,0,2,0,1,1,110,1,0,0,0,0,0,3,25,1,0,0,0,0,80,0,43,0,0,16,69
"LOC105937269",0,0,0,0,0,0,0,0,0,0,0,3,0,29,0,0,0,0,0,0,404,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
"LOC105937271",0,0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,61,1,0
"LOC105937277",124,0,0,0,16,1,0,1,2,4,0,1,37,119,0,1,0,6,1,11,1,2,12,0,1,39,5,117,0,0,67,3,245,0,3,199,50,0,0,0,1,65,12,80,7
"LOC105937280",245,214,615,252,121,258,60,84,219,343,387,232,874,4,147,319,441,23,202,319,37,7,407,76,32,5,25,314,372,235,64,151,92,775,384,257,176,86,310,194,873,1,187,6,10
"LOC105937282",71,0,54,0,0,0,0,2,0,3,54,3,0,0,0,96,0,0,0,0,44,0,1,0,1,0,0,0,1,0,0,17,2,0,77,20,0,0,0,0,35,0,1,0,0
"LOC105937284",9,0,69,7,0,90,18,0,2,25,0,0,11,0,29,5,0,2,1,24,2,0,3,4,2,27,3,80,246,131,2,208,72,44,214,81,3,13,3,7,58,93,25,0,0
"LOC105937286",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105937287",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105937289",33,91,0,0,0,144,0,1,1,0,0,0,0,0,0,0,49,0,111,1,0,0,0,1,252,0,0,0,0,1,0,0,166,0,1,11,0,0,2,0,0,0,1,0,0
"LOC105937290",3,0,1,32,0,36,34,28,103,114,84,0,1,342,55,71,1,0,4,22,1,0,0,0,2,57,0,166,55,0,56,1,17,0,130,0,0,4,0,38,0,0,1,4,2
"LOC105937293",145,4,69,78,81,158,44,31,156,4,46,8,114,2,4,111,47,2,173,0,3,3,61,44,160,9,61,21,79,62,255,373,36,0,256,40,1,180,8,81,309,89,82,2,309
"LOC105937298",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105937305",47,113,3,198,38,269,566,293,1646,859,17,73,7,484,225,1217,518,125,468,104,231,404,2,194,89,318,100,238,537,286,66,303,11,41,123,94,11,219,589,103,814,129,315,135,97
"LOC105937306",1,0,0,0,0,0,0,2,118,0,0,0,334,0,52,56,0,87,33,0,0,0,0,0,0,0,0,80,21,0,1,1,0,0,0,1,0,0,24,0,79,0,0,0,13
"LOC105937308",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105937309",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105937311",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105937312",143,0,115,80,2,1,203,88,519,18,3,0,114,190,12,269,194,41,196,4,41,397,1,36,95,5,1,30,463,436,459,4,53,0,118,62,87,176,275,5,186,48,3,279,105
"LOC105937313",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105937314",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105937315",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105937316",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105937322",226,14,402,117,23,1,13,6,2,33,123,98,311,275,113,2,185,495,579,76,284,149,245,60,4,56,2,6,184,245,195,14,120,106,80,99,20,179,1,99,442,203,202,0,3
"LOC105937323",1,0,2,0,0,0,21,0,1,3,0,0,0,0,0,0,0,0,0,0,46,0,145,0,1,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,42,0,0,0,0
"LOC105937332",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,85,0,0,0,0
"LOC105937333",1,129,175,3,1,1,43,38,262,2,338,88,311,180,17,38,232,1,122,0,156,0,6,189,0,2,21,3,8,0,105,136,303,36,164,163,169,4,185,34,47,3,0,137,7
"LOC105937334",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105937337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105937346",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
